标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"浩克与海扁特工队 第一季 / Hulk and the Agents of S.M.A.S.H. Se...","2","2024/07/31","","2013/08/11","美国","https://movie.douban.com/subject/22622776/"
"浩克与海扁特工队 第二季 / Hulk and the Agents of S.M.A.S.H. Se...","2","2024/07/31","","2014/10/12","美国","https://movie.douban.com/subject/26436108/"
"银河守护者 第一季 / Guardians of the Galaxy Season 1","3","2024/07/31","","","","https://movie.douban.com/subject/26125765/"
"银河守护者 第二季 / Marvel's Guardians of the Galaxy Season 2","3","2024/07/31","","2017/03/11","美国","https://movie.douban.com/subject/26842791/"
"银河守护者 第三季 / Guardians of the Galaxy Season 3","3","2024/07/31","","2018/03/18","美国","https://movie.douban.com/subject/27109214/"
"火箭浣熊与格鲁特 / Rocket & Groot","3","2024/07/31","","2017/03/10","美国","https://movie.douban.com/subject/26995112/"
"漫威超级英雄大冒险之冰霜大作战 / Marvel Super Hero Adventures:...","2","2024/07/31","","","","https://movie.douban.com/subject/26687539/"
"绿巨人与怪物 / Hulk: Where Monsters Dwell","1","2024/07/31","","2016/10/21","美国","https://movie.douban.com/subject/26898926/"
"终极复仇者 / Ultimate Avengers","2","2024/07/31","","","","https://movie.douban.com/subject/1774354/"
"终极复仇者2：黑豹的崛起 / Ultimate Avengers 2: Rise of the Pan...","2","2024/07/31","","","","https://movie.douban.com/subject/1849905/"
"无敌钢铁侠 / The Invincible Iron Man","1","2024/07/31","","","","https://movie.douban.com/subject/1959117/"
"奇异博士 / Doctor Strange","1","2024/07/31","","","","https://movie.douban.com/subject/2173349/"
"少年复仇者:明日英雄 / The Next Avengers:Heroes of Tomorrow","2","2024/07/31","","","","https://movie.douban.com/subject/3201457/"
"星球绿巨人 / Planet Hulk","2","2024/07/31","","2010/02/02","美国","https://movie.douban.com/subject/3907275/"
"钢铁侠与浩克：联合战记 / Iron Man & Hulk: Heroes United","1","2024/07/31","","","","https://movie.douban.com/subject/25778983/"
"钢铁侠与美国队长：英雄集结 / Iron Man & Captain America: Heroe...","2","2024/07/31","","2014/07/19","美国","https://movie.douban.com/subject/25942186/"
"美国队长：内战之路 / Captain America: The Road to Civil War","4","2024/07/31","","2016/09/13","美国","https://movie.douban.com/subject/30341209/"
"美国队长：75周年英雄史 / Marvel’s Captain America: 75 Heroic ...","4","2024/07/31","","2016/01/19","美国","https://movie.douban.com/subject/26694467/"
"漫威616 / Marvel's 616","3","2024/07/31","","2020/11/20","美国","https://movie.douban.com/subject/33413006/"
"漫威影业2021迪士尼+日特别节目 / Marvel Studios' 2021 Disney+ D...","3","2024/07/31","","2021/11/12","美国","https://movie.douban.com/subject/35684064/"
"机密复仇者：黑寡妇与惩罚者 / Marvel Avengers Confidential: Bla...","1","2024/07/31","","","","https://movie.douban.com/subject/25818881/"
"漫威崛起：秘密勇士 / Marvel Rising: Secret Warriors","1","2024/07/31","","2018/09/30","美国","https://movie.douban.com/subject/27602111/"
"蚁人 / Ant-Man","3","2024/07/31","","2017/06/10","美国","https://movie.douban.com/subject/30191789/"
"神奇四侠：世界最伟大的英雄们 / Fantastic Four: World's Greates...","1","2024/07/31","","","","https://movie.douban.com/subject/3928037/"
"永恒族 / Eternals","3","2024/07/31","","2014/09/16","美国","https://movie.douban.com/subject/26854397/"
"上海蝙蝠侠","4","2024/07/31","","","","https://movie.douban.com/subject/11532592/"
"紫晶公主 / Amethyst, Princess of Gemworld","4","2024/07/31","","2013/01/05","美国","https://movie.douban.com/subject/26784988/"
"妻之告白 / 妻は告白する","4","2024/07/31","","1961/10/29","日本","https://movie.douban.com/subject/1440599/"
"篱笆·女人和狗","3","2024/07/31","","","","https://movie.douban.com/subject/2163206/"
"辘轳·女人和井","3","2024/07/31","","","","https://movie.douban.com/subject/2209836/"
"古船·女人和网","3","2024/07/31","","","","https://movie.douban.com/subject/3098833/"
"黑袍纠察队 第四季 / The Boys Season 4","3","2024/07/30","","2024/06/13","美国","https://movie.douban.com/subject/35926862/"
"香肠聚会：食托邦 第一季 / Sausage Party: Foodtopia Season 1","2","2024/07/30","","2024/07/11","美国","https://movie.douban.com/subject/36135908/"
"春画 / 春の画 SHUNGA","3","2024/07/30","","","","https://movie.douban.com/subject/36530309/"
"火影 / ほかげ","2","2024/07/30","","2023/09/04","威尼斯电影节","https://movie.douban.com/subject/36465393/"
"日夜江河","3","2024/07/30","","2021/10/16","平遥国际影展","https://movie.douban.com/subject/35151538/"
"超人：疯狂科学家 / Superman","4","2024/07/30","","1941/09/26","美国","https://movie.douban.com/subject/2265630/"
"超人：机械公敌 / The Mechanical Monsters","4","2024/07/30","","","","https://movie.douban.com/subject/1981348/"
"惊奇队长的奇妙冒险 / Adventures of Captain Marvel","4","2024/07/30","","","","https://movie.douban.com/subject/5070386/"
"超人：亿万金列 / Billion Dollar Limited","4","2024/07/30","","","","https://movie.douban.com/subject/5069870/"
"超人：北极雪怪 / The Arctic Giant","3","2024/07/30","","","","https://movie.douban.com/subject/5069874/"
"超人：子弹飞车 / The Bulleteers","4","2024/07/30","","","","https://movie.douban.com/subject/5069843/"
"超人：磁力望远镜 / The Magnetic Telescope","4","2024/07/30","","","","https://movie.douban.com/subject/5083299/"
"超人：电地震 / Electric Earthquake","4","2024/07/30","","","","https://movie.douban.com/subject/2058594/"
"超人：火山 / Volcano","4","2024/07/30","","","","https://movie.douban.com/subject/5069416/"
"超人：游乐场惊魂 / Terror on the Midway","3","2024/07/30","","","","https://movie.douban.com/subject/5069467/"
"超人：日本鬼子 / Japoteurs","3","2024/07/30","","","","https://movie.douban.com/subject/2101547/"
"狐妖小红娘","4","2024/07/30","","2015/06/26","中国大陆","https://movie.douban.com/subject/26435736/"
"狐妖小红娘剧场版：下沙","4","2024/07/30","","","","https://movie.douban.com/subject/26685413/"
"狐妖小红娘剧场版：月红篇","4","2024/07/30","","2016/06/24","中国大陆","https://movie.douban.com/subject/26972694/"
"狐妖小红娘剧场版：王权富贵","4","2024/07/30","","2016/05/20","中国大陆","https://movie.douban.com/subject/26946612/"
"狐妖小红娘剧场版：千颜","3","2024/07/30","","2017/07/28","中国大陆","https://movie.douban.com/subject/27101874/"
"狐妖小红娘·月红2","2","2024/07/30","","2021/08/14","中国大陆","https://movie.douban.com/subject/35489154/"
"狐妖小红娘 无暮篇","3","2024/07/30","","2023/06/24","中国大陆","https://movie.douban.com/subject/36055455/"
"超人：冒牌挑战 / Showdown","3","2024/07/30","","","","https://movie.douban.com/subject/5069513/"
"超人：十一点整 / Eleventh Hour","3","2024/07/30","","","","https://movie.douban.com/subject/2054120/"
"超人：破坏公司 / Destruction Inc.","3","2024/07/30","","","","https://movie.douban.com/subject/5069810/"
"间谍粉碎者 / Spy Smasher","3","2024/07/30","","","","https://movie.douban.com/subject/5069490/"
"超人：木乃伊出击 / The Mummy Strikes","3","2024/07/30","","","","https://movie.douban.com/subject/5069129/"
"超人：丛林鼓声 / Jungle Drums","3","2024/07/30","","","","https://movie.douban.com/subject/5069187/"
"超人：地下世界 / The Underground World","3","2024/07/30","","","","https://movie.douban.com/subject/5068997/"
"超人：密探 / Secret Agent","3","2024/07/30","","","","https://movie.douban.com/subject/5069054/"
"蝙蝠侠 / Batman","3","2024/07/30","","1943/07/16","美国","https://movie.douban.com/subject/4263229/"
"霍普哈里根：美国王牌飞行员 / Hop Harrigan America's Ace of the...","3","2024/07/30","","1946/03/28","美国","https://movie.douban.com/subject/33415911/"
"维吉兰特：西方战斗英雄 / The Vigilante: Fighting Hero of the West","3","2024/07/30","","","","https://movie.douban.com/subject/5067231/"
"超人 / Superman","3","2024/07/30","","","","https://movie.douban.com/subject/5066879/"
"蝙蝠侠与罗宾 / Batman and Robin","3","2024/07/30","","1949/05/26","美国","https://movie.douban.com/subject/5066743/"
"原子人大战超人 / Atom Man vs. Superman","3","2024/07/30","","","","https://movie.douban.com/subject/5066330/"
"超人和鼹鼠人 / Superman and the Mole-Men","2","2024/07/30","","","","https://movie.douban.com/subject/5065617/"
"黑鹰：无所畏惧的自由冠军 / Blackhawk: Fearless Champion of Fre...","3","2024/07/30","","","","https://movie.douban.com/subject/5065468/"
"超人的冒险 / Adventures of Superman","3","2024/07/30","","","","https://movie.douban.com/subject/3068641/"
"超人诞生之日 / Stamp Day for Superman","3","2024/07/30","","","","https://movie.douban.com/subject/5062605/"
"超人在伦敦警察厅 / Superman in Scotland Yard","3","2024/07/30","","","","https://movie.douban.com/subject/6846869/"
"流放者超人 / Superman in Exile","3","2024/07/30","","","","https://movie.douban.com/subject/6846868/"
"超人再次起飞 / Superman Flies Again","3","2024/07/30","","","","https://movie.douban.com/subject/6846866/"
"超人的危机 / Superman's Peril","3","2024/07/30","","","","https://movie.douban.com/subject/6846870/"
"超人和丛林恶魔 / Superman and the Jungle Devil","3","2024/07/30","","","","https://movie.douban.com/subject/6846865/"
"蝙蝠侠 第一季 / Batman Season 1","4","2024/07/30","","1966/01/12","美国","https://movie.douban.com/subject/3259453/"
"蝙蝠侠 第二季 / Batman Season 2","4","2024/07/30","","1966/09/07","美国","https://movie.douban.com/subject/19935825/"
"蝙蝠侠 第三季 / Batman Season 3","3","2024/07/30","","1967/09/14","美国","https://movie.douban.com/subject/26771134/"
"蝙蝠侠：大电影 / Batman: The Movie","2","2024/07/30","","1966/07/30","美国","https://movie.douban.com/subject/2146303/"
"沼泽怪物 / Swamp Thing","1","2024/07/30","","","","https://movie.douban.com/subject/1303639/"
"超级少女 / Supergirl","2","2024/07/30","","1984/07/19","英国","https://movie.douban.com/subject/1304998/"
"少年超人 第一季 / Superboy Season 1","3","2024/07/30","","1988/10/08","美国","https://movie.douban.com/subject/3840718/"
"少年超人 第二季 / Superboy Season 2","3","2024/07/30","","1989/10/07","美国","https://movie.douban.com/subject/30410614/"
"少年超人 第三季 / Superboy Season 3","3","2024/07/30","","1990/10/06","美国","https://movie.douban.com/subject/30410616/"
"少年超人 第四季 / Superboy Season 4","3","2024/07/30","","1991/10/06","美国","https://movie.douban.com/subject/30410617/"
"少年泰坦出击 第一季 / Teen Titans Go! Season 1","4","2024/07/30","","2013/04/23","美国","https://movie.douban.com/subject/22622973/"
"少年泰坦出击 第二季 / Teen Titans Go! Season 2","4","2024/07/30","","","","https://movie.douban.com/subject/25908037/"
"少年泰坦出击 第三季 / Teen Titans Go! Season 3","4","2024/07/30","","2015/07/31","美国","https://movie.douban.com/subject/26598175/"
"少年泰坦出击 第四季 / Teen Titans Go! Season 4","4","2024/07/30","","","","https://movie.douban.com/subject/26905714/"
"少年泰坦出击 第五季 / Teen Titans Go! Season 5","4","2024/07/30","","2018/06/25","美国","https://movie.douban.com/subject/30266099/"
"少年泰坦出击 第六季 / Teen Titans Go! Season 6","4","2024/07/30","","2019/11/09","美国","https://movie.douban.com/subject/34909187/"
"少年泰坦出击 第七季 / Teen Titans Go! Season 7","3","2024/07/30","","2021/05/08","美国","https://movie.douban.com/subject/35458958/"
"少年泰坦出击 第八季 / Teen Titans Go! Season 8","3","2024/07/30","","2022/10/07","美国","https://movie.douban.com/subject/36016487/"
"蝙蝠侠之子 / Son of Batman","2","2024/07/30","","","","https://movie.douban.com/subject/25815577/"
"正义联盟：亚特兰蒂斯的宝座 / Justice League: Throne of Atlantis","2","2024/07/30","","2015/01/13","网络","https://movie.douban.com/subject/25980500/"
"蝙蝠侠无极限 第一季 / Batman Unlimited Season 1","4","2024/07/30","","2015/04/04","美国","https://movie.douban.com/subject/26678858/"
"蝙蝠侠无极限 第二季 / Batman Unlimited Season 2","4","2024/07/30","","","","https://movie.douban.com/subject/26889798/"
"正义联盟：神魔编年史 第一季 / Justice League: Gods and Monster...","4","2024/07/30","","2015/06/08","美国","https://movie.douban.com/subject/26424968/"
"正义联盟：神魔编年史 第二季 / Justice League: Gods and Monster...","4","2024/07/30","","","","https://movie.douban.com/subject/26717056/"
"雌狐 第一季 / Vixen Season 1","3","2024/07/30","","","","https://movie.douban.com/subject/26599494/"
"雌狐 第二季 / Vixen Season 2","2","2024/07/30","","2016/10/13","美国","https://movie.douban.com/subject/26725226/"
"DC超级英雄美少女 第一季 / DC Super Hero Girls Season 1","3","2024/07/30","","2015/10/01","美国","https://movie.douban.com/subject/26766178/"
"DC超级英雄美少女 第二季 / DC Super Hero Girls Season 2","4","2024/07/30","","2016/04/21","美国","https://movie.douban.com/subject/26830861/"
"DC超级英雄美少女 第三季 / DC Super Hero Girls Season 3","3","2024/07/30","","2017/01/26","美国","https://movie.douban.com/subject/26965022/"
"DC超级英雄美少女 第四季 / DC Super Hero Girls Season 4","2","2024/07/30","","2018/01/18","美国","https://movie.douban.com/subject/30145935/"
"DC超级英雄美少女 第五季 / DC Super Hero Girls Season 5","2","2024/07/30","","2018/08/02","美国","https://movie.douban.com/subject/30329069/"
"战士，神话，传奇 / The Warrior, the Myth, the Wonder","3","2024/07/30","","","","https://movie.douban.com/subject/26883634/"
"神奇女侠：优雅与力量 / Wonder Woman: Grace & Power","3","2024/07/30","","","","https://movie.douban.com/subject/26883635/"
"正义联盟大战少年泰坦 / Justice League vs. Teen Titans","2","2024/07/30","","2016/03/29","美国","https://movie.douban.com/subject/26696639/"
"DC超级英雄美少女：超级英雄中学 / DC Super Hero Girls: Super He...","2","2024/07/30","","2016/03/19","美国","https://movie.douban.com/subject/26849193/"
"正义黎明：卢瑟帝国 / Dawn of Justice: The Empire of Luthor","4","2024/07/30","","2016/07/19","美国","https://movie.douban.com/subject/27062848/"
